"Table 1: Foodborne disease outbreaks, outbreak-associated illnesses, and hospitalizations, by etiology (con_rmed orsuspected)*-Foodborne Disease Outbreak Surveillance System, United States, 2016.",,,,,,,,,,,,,,,,,,
,No. Outbreaks,,,,No. Illnesses,,,No. Hospitalizations,,,,,,,,,,
Etiology,Food Category*,No. Outbreaks,No. Illnesses,No. Hospitalizations,No. Deaths,,,,,,,,,,,,,
Hepatitis A virus,Mollusks,1,281,71,2,,,,,,,,,,,,,
Listeria monocytogenes,Dairy,1,10,9,2,,,,,,,,,,,,,
Salmonella,Chicken,8,307,42,1,,,,,,,,,,,,,
Vibrio cholerae ,Mollusks,3,6,3,1,,,,,,,,,,,,,
Salmonella,Beef,2,110,44,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Table 3a: Foodborne disease outbreaks and outbreak-associated illnesses, by location of food preparation- Foodborne Disease Outbreak Surveillance System, United States, 2016.",,,,,,,,,,,,,,,,,,
,No. Outbreaks,,No. Illnesses,,,,,,,,,,,,,,,
Location,No. Outbreaks Total,No. Outbreaks %,No. IllnessesTotal,%,,,,,,,,,,,,,,
Restaurant,459,61,5353,42,,,,,,,,,,,,,,
Sit-down dining,363,48,4139,33,,,,,,,,,,,,,,
Fast-food,62,8,768,6,,,,,,,,,,,,,,
Bu-et,16,2,240,2,,,,,,,,,,,,,,
Other or unknown type,24,3,374,3,,,,,,,,,,,,,,
Multiple types,10,1,72,1,,,,,,,,,,,,,,
Catering or banquet facility,102,14,3116,25,,,,,,,,,,,,,,
Private home,76,10,895,7,,,,,,,,,,,,,,
Institutional location,21,3,1377,11,,,,,,,,,,,,,,
School,8,1,785,6,,,,,,,,,,,,,,
Prison or jail,5,1,437,3,,,,,,,,,,,,,,
Camp,4,1,56,0,,,,,,,,,,,,,,
Day Care,2,0,46,0,,,,,,,,,,,,,,
O-ce or indoor workplace,2,0,53,0,,,,,,,,,,,,,,
Other location,7,1,113,1,,,,,,,,,,,,,,
Other commercial location,40,5,723,6,,,,,,,,,,,,,,
Grocery store,15,2,239,2,,,,,,,,,,,,,,
"Fair, festival, or temporary mobile service",13,2,290,2,,,,,,,,,,,,,,
Farm or dairy,11,1,192,2,,,,,,,,,,,,,,
Other,1,0,2,0,,,,,,,,,,,,,,
Hospital or nursing home,16,2,412,3,,,,,,,,,,,,,,
Nursing home,16,2,412,3,,,,,,,,,,,,,,
Other private location,7,1,234,2,,,,,,,,,,,,,,
Place of worship,6,1,224,2,,,,,,,,,,,,,,
Other,1,0,10,0,,,,,,,,,,,,,,
Hotel or motel,7,1,159,1,,,,,,,,,,,,,,
Single location*,751,90,12622,89,,,,,,,,,,,,,,
Multiple locations,40,5,830,6,,,,,,,,,,,,,,
Unknown location,48,6,807,6,,,,,,,,,,,,,,
Total,839,100,14259,100,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Table 3b: Foodborne disease outbreaks and outbreak-associated illnesses, by confirmed etiology* and location offood preparation. Foodborne Disease Outbreak Surveillance System, United State, 2016.",,,,,,,,,,,,,,,,,,
,Catering or banquet facility,,Restaurant,,Other commercial location,,Hospital or nursing home,,Instituitional location,,Private home,,Other private location ,,Other location,,,
Etiology,NO,NI,NO,NI,NO,,NI,NI,NO,NI,NO,NI,NO,NI,NO,NI,,
Bacterial,,,,,,,,,,,,,,,,,,
Salmonella,6,255,53,794,11,363,3,11,10,507,17,310,2,51,1,2,,
Clostridium perfringens,3,106,9,255,-,-,-,-,-,-,3,72,1,35,-,-,,
"Escherichia coli, Shiga toxin-producing",1,10,7,46,4,60,-,-,-,-,2,14,-,-,-,-,,
Campylobacter,2,20,8,85,4,37,-,-,-,-,3,7,-,-,-,-,,
Bacillus cereus,1,39,2,187,-,-,-,-,2,110,1,4,-,-,-,-,,
Staphylococcus aureus enterotoxin,2,157,1,4,-,-,-,-,-,-,1,12,-,-,-,-,,
Vibrio parahaemolyticus,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,,
Vibrio cholerae,-,-,2,4,1,2,-,-,-,-,-,-,-,-,-,-,,
Shigella,2,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
Clostridium botulinum,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,,
Listeria monocytogenes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
"Escherichia coli, Enteroinvasive",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
Staphylococcus spp,-,-,1,16,-,-,-,-,-,-,-,-,-,-,-,-,,
"Escherichia coli, Enteroaggregative",-,-,-,-,1,10,-,-,-,-,-,-,-,-,-,-,,
Brucella spp,-,-,-,-,-,-,-,-,-,-,1,3,-,-,-,-,,
Vibrio other,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,,
Other,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
Subtotal,17,608,84,1393,22,474,3,11,12,617,29,424,3,86,1,2,,
Chemical and toxin,,,,,,,,,,,,,,,,,,
Scombroid toxin/histamine,-,-,9,29,-,-,-,-,-,-,3,6,-,-,-,-,,
Ciguatoxin,-,-,-,-,1,2,-,-,-,-,9,25,-,-,-,-,,
Mycotoxins,-,-,-,-,-,-,-,-,-,-,1,7,-,-,-,-,,
Other,1,64,-,-,-,-,-,-,-,-,-,-,-,-,1,2,,
Subtotal,1,64,9,29,1,2,-,-,-,-,13,38,-,-,1,2,,
Parasitic,,,,,,,,,,,,,,,,,,
Cryptosporidium,-,-,-,-,2,9,-,-,-,-,-,-,-,-,-,-,,
Trichinella,-,-,-,-,-,-,-,-,-,-,2,8,-,-,-,-,,
Giardia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
Cyclospora,-,-,1,15,-,-,-,-,-,-,-,-,-,-,-,-,,
Subtotal,-,-,1,15,2,9,-,-,-,-,2,8,-,-,-,-,,
Viral,,,,,,,,,,,,,,,,,,
Norovirus,28,1051,85,1426,2,93,5,187,2,529,5,60,2,100,3,112,,
Hepatitis A virus,-,-,2,418,-,-,-,-,-,-,1,39,-,-,-,-,,
Sapovirus,-,-,1,15,-,-,-,-,-,-,-,-,-,-,-,-,,
Subtotal,28,1051,88,1859,2,93,5,187,2,529,6,99,2,100,3,112,,
Single etiology,46,1723,182,3296,27,578,8,198,14,114 6,51,581,5,186,6,128,,
Multiple etiologies con_rmed__,-,-,2,22,-,-,-,-,-,-,2,65,-,-,-,-,,
Total,46,1723,184,3318,27,578,8,198,14,1146,53,646,5,186,6,128,,
,,,,,,,,,,,,,,,,,,
"Table 3c: Foodborne disease outbreaks and outbreak-associated illnesses, by suspected etiology* and location of food preparation - Foodborne Disease Outbreak Surveillance System, United States, 2016.",,,,,,,,,,,,,,,,,,
,Catering or banquet facility,,Restaurant,,Other commercial location,,Hospital or nursing home,,Instituitional location,,Private home,,Other private location ,,Other location,,,
Etiology,NO,NI,NO,NI,NO,NI,NO,NI,NO,NI,NO,NI,NO,NI,NO,NI,,
Bacterial,,,,,,,,,,,,,,,,,,
Salmonella,1,25,1,7,-,-,-,-,-,-,-,-,-,-,-,-,,
Clostridium perfringens,7,121,2,11,1,11,-,-,-,-,1,17,-,-,-,-,,
"Escherichia coli, Shiga toxin-producing",-,-,-,-,-,-,-,-,-,-,2,16,-,-,-,-,,
Campylobacter,-,-,2,6,1,6,-,-,-,-,1,15,-,-,-,-,,
Bacillus cereus,3,260,9,38,-,-,-,-,-,-,-,-,-,-,-,-,,
Staphylococcus aureus enterotoxin,-,-,7,23,-,-,-,-,-,-,2,29,-,-,1,12,,
Vibrio parahaemolyticus,-,-,2,4,-,-,-,-,-,-,1,2,-,-,-,-,,
Vibrio cholerae,-,-,1,6,-,-,-,-,-,-,-,-,-,-,-,-,,
Shigella,-,-,-,-,-,-,-,-,1,3,-,-,-,-,-,-,,
Clostridium botulinum,-,-,-,-,-,-,-,-,-,-,1,3,-,-,-,-,,
Listeria monocytogenes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
"Escherichia coli, Enteroinvasive",1,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
Staphylococcus spp,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
"Escherichia coli, Enteroaggregative",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
Brucella spp,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
Vibrio other,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
Other,1,26,11,34,1,2,-,-,-,-,-,-,-,-,-,-,,
Subtotal,13,455,35,129,3,19,-,-,1,3,8,82,-,-,1,12,,
Chemical and toxin,,,,,,,,,,,,,,,,,,
Scombroid toxin/histamine,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
Ciguatoxin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
Mycotoxins,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
Other,1,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
Subtotal,1,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
Parasitic,,,,,,,,,,,,,,,,,,
Cryptosporidium,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
Trichinella,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
Giardia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
Cyclospora,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
Subtotal,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
Viral,,,,,,,,,,,,,,,,,,
Norovirus,14,459,127,1058,6,86,3,121,3,94,5,51,1,8,6,121,,
Hepatitis A virus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
Sapovirus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
Subtotal,14,459,127,1058,6,86,3,121,3,94,5,51,1,8,6,121,,
Single etiology,28,923,163,1392,9,105,3,121,4,97,13,133,1,8,7,133,,
Multiple etiologies suspected__,2,17,5,32,-,-,-,-,1,68,2,28,-,-,-,-,,
Unknown etiology__,26,453,107,611,4,40,5,93,2,66,8,88,1,40,1,11,,
Total,56,1393,275,2035,13,145,8,214,7,231,23,249,2,48,8,144,,
,,,,,,,,,,,,,,,,,,
"Table 4: Multistate foodborne disease outbreaks-Foodborne Disease Outbreak Surveillance System, United States, 2016.",,,,,,,,,,,,,,,,,,
,,,,,,,Implicated food*,,,,,,,,,,,
Month of first illness on set,Etiology,,illnesses,No. Hospitilizations ,No. Deaths,No. States Involved,Name,Confirmed,Recall,,,,,,,,,
January,Salmonella Montevideo; Senftenberg,,11,2,0,9,Pistachios,Yes,Yes,,,,,,,,,
January,Shiga toxin-producing E. coli O157:NM (H-),,11,2,0,2,Alfalfa sprouts,Yes,Yes,,,,,,,,,
March,Salmonella Sundsvall,,6,1,0,2,No food reported,-,No,,,,,,,,,
March,Salmonella Oslo,,14,3,0,8,Cucumbers,Yes,No,,,,,,,,,
April,Salmonella Goldcoast,,12,1,0,5,Pork,No,No,,,,,,,,,
April,Shiga toxin-producing E. coli O5,,4,0,0,4,No food reported,-,No,,,,,,,,,
April,Salmonella Bareilly,,21,3,0,7,No food reported,-,No,,,,,,,,,
April,Salmonella Braenderup,,32,6,0,14,Mung bean sprouts,No,No,,,,,,,,,
April,Salmonella Enteritidis,,7,0,0,2,Prepackaged leafy greens,Yes,No,,,,,,,,,
April,Salmonella Oranienburg,,8,2,0,3,Shell Eggs,Yes,Yes,,,,,,,,,
May,Hepatitis A virus,,137,57,0,9,Strawberries,Yes,Yes,,,,,,,,,
May,Salmonella Reading; Abony,,36,7,0,9,Alfalfa sprouts,Yes,No,,,,,,,,,
May,Salmonella Enteritidis,,59,7,0,19,Avocado,No,No,,,,,,,,,
May,Salmonella Anatum,,32,8,0,9,Peppers,Yes,No,,,,,,,,,
May,Salmonella Javiana,,29,6,0,8,Onion,No,No,,,,,,,,,
June,Salmonella Enteritidis,,28,7,0,6,Salad mix,Yes,No,,,,,,,,,
June,Salmonella Minnesota,,10,3,0,8,Cantaloupe,Yes,No,,,,,,,,,
June,Salmonella Javiana,,17,3,0,6,No food reported,-,No,,,,,,,,,
June,Shiga toxin-producing E. coli O157:H7,,14,5,0,3,Beef,Yes,Yes,,,,,,,,,
June,Salmonella Saintpaul,,10,3,0,3,Cucumber,Yes,Yes,,,,,,,,,
June,Shiga toxin-producing,E. coli,11,4,0,3,Iceberg lettuce,No,No,,,,,,,,,
June,"Salmonella I 4,[5],12:i:- E. coli",,5,2,0,2,Nuts,No,No,,,,,,,,,
June,Shiga toxin-producing E. coli O157,,11,7,0,5,Ground beef,Yes,Yes,,,,,,,,,
July,"Salmonella I 4,[5],12:i:-",,64,16,0,13,Chicken,Yes,No,,,,,,,,,
July,Salmonella Javiana,,45,9,0,19,No food reported,-,No,,,,,,,,,
July,Salmonella Saintpaul,,70,12,0,11,Chicken,No,No,,,,,,,,,
August,Salmonella Newport,,12,4,0,5,No food reported,-,No,,,,,,,,,
August,Salmonella Newport,,53,9,1,17,No food reported,-,No,,,,,,,,,
September,Listeria monocytogenes,,5,5,1,3,No food reported,-,No,,,,,,,,,
September,Listeria monocytogenes,,10,9,2,5,Unpasteurized soft cheese,Yes,Yes,,,,,,,,,
September,Shiga toxin-producing E. coli,,20,7,2,6,No food reported,-,No,,,,,,,,,
October,Salmonella Enteritidis,,20,3,0,7,Bean sprouts,No,No,,,,,,,,,
October,Salmonella Newport,,107,43,1,22,Ground beef,Yes,No,,,,,,,,,
October,Salmonella Typhimurium,,6,1,0,2,Hazelnuts,Yes,Yes,,,,,,,,,
October,Shiga toxin-producing E. coli,,13,10,1,5,No food reported,-,No,,,,,,,,,
November,Salmonella Montevideo,,19,2,0,6,No food reported,-,No,,,,,,,,,
November,Salmonella Newport,,25,9,0,8,No food reported,-,No,,,,,,,,,
December,Salmonella Goldcoast,,16,5,0,14,No food reported,-,No,,,,,,,,,
December,Norovirus GII.4 untypeable,,45,0,0,2,No food reported,-,No,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Appendix Table 1: Foodborne disease outbreaks by con_rmed etiology* and contributing factors__-__Foodborne Disease Outbreak Surveillance System, United States, 2016.",,,,,,,,,,,,,,,,,,
,Contamination Factors,,,,,,,,,,,,,,,,,
Etiology,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,>= 1 factor reported,Outbreaks with reported contributing factors,Total outbreaks
Bacterial,,,,,,,,,,,,,,,,,,
Salmonella,1,-,-,-,-,12,11,3,21,3,3,2,3,4,4,41,48,132
Clostridium perfringens,1,-,-,-,-,2,-,-,1,-,-,-,-,3,2,9,15,18
"Escherichia coli, Shiga toxin-producing",1,-,-,-,-,1,5,-,5,1,-,1,-,4,2,11,12,25
Campylobacter,-,-,-,-,-,2,7,1,2,1,1,1,-,-,1,10,10,18
Bacillus cereus,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,5,6
Staphylococcus aureus enterotoxin,-,-,-,-,-,1,-,-,2,-,-,-,-,-,1,3,4,4
Vibrio parahaemolyticus,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,1,2,3
Vibrio cholerae,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,3,3,4
Shigella,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,1,1,2
Clostridium botulinum,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1
Listeria monocytogenes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
"Escherichia coli, Enteroinvasive",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Staphylococcus spp,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,1,1
"Escherichia coli, Enteroaggregative",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
Brucella spp,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1
Vibrio other,-,-,-,-,-,-,-,-,1,-,-,-,-,1,1,1,1,1
Other,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Subtotal,4,-,-,-,-,19,28,5,33,6,4,4,3,12,11,83,104,219
Chemical and toxin,,,,,,,,,,,,,,,,,,
Scombroid toxin/histamine,9,-,-,-,-,-,2,-,1,-,-,-,-,-,-,10,10,12
Ciguatoxin,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,11,11
Mycotoxins,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1
Other,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,1,1,2
Subtotal,20,-,1,1,-,-,2,-,1,-,-,-,-,-,1,23,23,26
Parasitic,,,,,,,,,,,,,,,,,,
Cryptosporidium,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,2,2,2
Trichinella,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,2,2,2
Giardia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Cyclospora,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
Subtotal,1,-,-,-,-,1,2,-,-,-,-,-,-,-,-,4,4,5
Viral,,,,,,,,,,,,,,,,,,
Norovirus,1,-,-,-,-,1,6,2,2,32,24,38,10,1,3,83,84,145
Hepatitis A virus,-,-,-,-,-,-,2,-,1,-,-,-,1,-,-,3,3,3
Sapovirus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
Subtotal,1,-,-,-,-,1,8,2,3,32,24,38,11,1,3,86,87,149
Single etiology,26,-,1,1,-,21,40,7,37,38,28,42,14,13,15,196,218,399
Multiple etiologies con_rmed,-,-,-,-,-,1,-,-,-,1,-,1,-,-,-,2,2,4
Total,26,-,1,1,-,22,40,7,37,39,28,43,14,13,15,198,220,403
,,,,,,,,,,,,,,,,,,
"Appendix Table 2: Foodborne disease outbreaks by con_rmed etiology* and contributing factors__-__FoodborneDisease Outbreak Surveillance System, United States, 2016.",,,,,,,,,,,,,,,,,,
,Proliferation/Amplification Factors,,,,,,,,,,,,,,,,,
Etiology,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,>= 1 Factor Reported,Outbreaks with reported contributing factors,Total outbreaks,,,
Bacterial,,,,,,,,,,,,,,,,,,
Salmonella,21,10,3,5,6,-,7,6,-,1,1,2,35,48,132,,,
Clostridium perfringens,7,5,-,2,6,-,10,7,-,-,-,1,14,15,18,,,
"Escherichia coli, Shiga toxin-producing",4,1,1,1,3,1,1,2,-,-,-,-,5,12,25,,,
Campylobacter,1,-,-,1,-,-,-,1,-,-,-,1,2,10,18,,,
Bacillus cereus,2,-,-,-,1,-,-,-,-,-,-,-,2,5,6,,,
Staphylococcus aureus enterotoxin,2,2,1,-,-,-,-,-,-,-,-,-,4,4,4,,,
Vibrio parahaemolyticus,-,-,-,-,-,-,-,-,-,-,-,1,1,2,3,,,
Vibrio cholerae,-,1,-,-,-,-,1,-,-,-,-,-,2,3,4,,,
Shigella,-,1,-,-,-,-,-,-,-,-,-,-,1,1,2,,,
Clostridium botulinum,-,-,-,-,-,-,-,-,-,1,1,-,1,1,1,,,
Listeria monocytogenes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,,,
Escherichia coli Enteroinvasive,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Staphylococcus spp,-,-,-,-,-,1,-,1,-,-,-,-,1,1,1,,,
Escherichia coli Enteroaggregative,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,,,
Brucella spp,1,-,-,-,-,-,-,-,-,-,-,-,1,1,1,,,
Vibrio other,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,,,
Other,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Subtotal,38,20,5,9,16,2,19,17,-,2,2,5,69,104,219,,,
Chemical and toxin,,,,,,,,,,,,,,,,,,
Scombroid toxin/histamine,-,-,-,2,2,-,-,-,-,-,-,-,4,10,12,,,
Ciguatoxin,-,-,-,-,-,-,-,-,-,-,-,-,-,11,11,,,
